all_words	flexion	grammar	definition	translation	used	example	semem_links	idiom	derivation	word
http://www.makedonski.info/show/давија/ж	 мн. давии 	 Вид збор: Именка, женски род 	 NEXT_MEANING 	 Англиски: lawsuit Турски: dava Албански: ankesë NEXT_MEANING Англиски: brawl Албански: grindje 	 Архаизам NEXT_MEANING Правда NEXT_MEANING Архаизам 	 Станаа сведоци на давијата што ја предизвика шумарот. 	 			давија, ж
http://www.makedonski.info/show/давлив/прид	 давливиот 	 Вид збор: Придавка 	 Слично со: плоден (прид.) 	 Англиски: fruitful 	 Дијалектен збор 		 Слично со: плоден (прид.) 			давлив, прид
http://www.makedonski.info/show/даволи/несв	 (се) даволат 	 Вид збор: Глагол, несвршен 	 	 Англиски: tussle 			 			даволи, несв
http://www.makedonski.info/show/даволка/несв	 (се) даволкаат 	 Вид збор: Глагол, несвршен 	 	 						даволка, несв
http://www.makedonski.info/show/дага/ж	 мн. даги 	 Вид збор: Именка, женски род 	 NEXT_MEANING 	 Англиски: stave Албански: dërras fuçie NEXT_MEANING Англиски: layer Албански: shtresë 		 Имаше дага песок во нивата. 	 			дага, ж
http://www.makedonski.info/show/даговит/прид	 даговитиот 	 Вид збор: Придавка 	 	 			 			даговит, прид
http://www.makedonski.info/show/дада/ж	 мн. дади 	 Вид збор: Именка, женски род 	 Слично со: сестричка (ж.) NEXT_MEANING 	 Англиски: sister Албански: motër, dadë NEXT_MEANING Албански: dadë 	 Разговорно NEXT_MEANING Разговорно 		 Слично со: сестричка (ж.) 		 даде ср. мн. дадиња хип.	дада, ж
http://www.makedonski.info/show/дадаизам/м	 (едн.) дадаизмот 	 Вид збор: Именка, машки род 	 	 Англиски: dadaism Албански: dadaizëm 	 Уметност 		 		 дадаистички прид. дадаистичкиот	дадаизам, м
http://www.makedonski.info/show/дадаист/м	 мн. дадаисти 	 Вид збор: Именка, машки род 	 	 Англиски: dadaist 	 Уметност 					дадаист, м
http://www.makedonski.info/show/даде/св	 дадам 	 Вид збор: Глагол, свршен 	 Слично со: врачи (св.) Спротивно од: земе (св.) NEXT_MEANING Слично со: подари (св.) NEXT_MEANING Слично со: омажи (св.) NEXT_MEANING Слично со: испрати (св.) NEXT_MEANING Слично со: размени (св.) NEXT_MEANING NEXT_MEANING NEXT_MEANING Слично со: носи (св. и несв.) , роди (св.) , произведе (св.) NEXT_MEANING Слично со: приреди (св.) , изведе (св.) , одржи (св.) NEXT_MEANING Слично со: согласи (св.) , допушти (св.) , дозволи (св.) NEXT_MEANING Слично со: испрати (св.) , предаде (св.) NEXT_MEANING Слично со: жртвува (св. и несв.) NEXT_MEANING Слично со: однесе (св.) NEXT_MEANING Слично со: отуѓува (несв.) NEXT_MEANING NEXT_MEANING NEXT_MEANING 	 Англиски: give Албански: dha NEXT_MEANING Англиски: give Албански: dorëzoj NEXT_MEANING Англиски: marry Албански: martoj NEXT_MEANING Англиски: send Албански: dërgoj NEXT_MEANING Англиски: exchange Албански: këmben NEXT_MEANING Англиски: estimate Албански: vlerësoj NEXT_MEANING Англиски: threaten Албански: kërcnoj NEXT_MEANING Англиски: produce Албански: prodhoj NEXT_MEANING Англиски: bring Албански: dërgoj NEXT_MEANING Англиски: allow Албански: lejoj NEXT_MEANING Англиски: surrender Албански: dorëzoj NEXT_MEANING Англиски: sacrifice Албански: sakrifikon NEXT_MEANING Англиски: bring Албански: dërgoj NEXT_MEANING Англиски: give Албански: shpërndan NEXT_MEANING Англиски: give Албански: prezantoj NEXT_MEANING Англиски: give Албански: jep NEXT_MEANING Англиски: surrender Албански: nuk dorëzohet 		 За роденден му даде подарок. 	 Слично со: врачи (св.) Спротивно од: земе (св.) 	 8. произведе, роди, носи Англиски: produce Албански: prodhoj Примери: Нивата даде род. Слично со: носи (св. и несв.) , роди (св.) , произведе (св.) 	 1. дава несв. даваатNEXT_MEANING 2. давање ср. глаг. им. 	даде, св
http://www.makedonski.info/show/даден/прид	 дадениот 	 Вид збор: Придавка 	 	 Англиски: given 		 даден збор 				даден, прид
http://www.makedonski.info/show/дадијарка/ж	 мн. дадијарки 	 Вид збор: Именка, женски род 	 Слично со: дадилка (ж.) 	 Англиски: nanny 			 Слично со: дадилка (ж.) 			дадијарка, ж
http://www.makedonski.info/show/дадилка/ж	 мн. дадилки 	 Вид збор: Именка, женски род 	 	 Англиски: nanny 			 			дадилка, ж
http://www.makedonski.info/show/дадичка/ж	 мн. дадички 	 Вид збор: Именка, женски род 	 	 	 Хипокористика 					дадичка, ж
http://www.makedonski.info/show/дажба/ж	 мн. дажби 	 Вид збор: Именка, женски род 	 	 Англиски: portion, ration 			 			дажба, ж
http://www.makedonski.info/show/дајре/ср	 мн. дајриња 	 Вид збор: Именка, среден род 	 Вид: инструмент (м.) 	 Англиски: tambourine Турски: daire 	 Музика и танц 		 Вид: инструмент (м.) 			дајре, ср
http://www.makedonski.info/show/дајреџија/м	 мн. дајреџии 	 Вид збор: Именка, машки род 	 Вид: музичар (м.) 	 	 Музика и танц 		 Вид: музичар (м.) 		 дајреџика ж. мн. дајреџики Пример: Дајреџиката ѕвонкаше со дајрето на веселбата.	дајреџија, м
http://www.makedonski.info/show/дактил/м	 (едн.) 	 Вид збор: Именка, машки род 	 	 	 Литература 		 			дактил, м
http://www.makedonski.info/show/дактилограф/м	 мн. дактилографи 	 Вид збор: Именка, машки род 	 	 Англиски: typist 			 		 дактилографка ж. мн. дактилографки	дактилограф, м
http://www.makedonski.info/show/дактилографија/ж	 (едн.) 	 Вид збор: Именка, женски род 	 	 			 			дактилографија, ж
http://www.makedonski.info/show/дактилографски/прид	 дактилографскиот 	 Вид збор: Придавка 	 	 		 Дактилографско училиште. NEXT_MEANING Дактилографско масиче. NEXT_MEANING Дактилографска машина. 				дактилографски, прид
http://www.makedonski.info/show/дактилоскопија/ж	 (едн.) 	 Вид збор: Именка, женски род 	 	 			 		 дактилоскопски прид. дактилоскопскиот	дактилоскопија, ж
http://www.makedonski.info/show/дал/чест	 	 Вид збор: Честичка 	 	 Англиски: whether 	 Разговорно 	 Дал да се смеам или да плачам, ништо ти не ми кажуваш. 				дал, чест
http://www.makedonski.info/show/далавера/ж	 мн. далавери 	 Вид збор: Именка, женски род 	 Слично со: интрига (ж.) , сплетка (ж.) , трик (м.) 	 Англиски: intrigue Турски: dalavere 	 Разговорно 		 Слично со: интрига (ж.) , сплетка (ж.) , трик (м.) 			далавера, ж
http://www.makedonski.info/show/далаверџија/м	 мн. далаверџии 	 Вид збор: Именка, машки род 	 Слично со: интригант (м.) , сплеткар (м.) 	 Англиски: intriguer Турски: dalavereci 	 Разговорно 		 Слично со: интригант (м.) , сплеткар (м.) 			далаверџија, м
http://www.makedonski.info/show/далак/м	 мн. далаци 	 Вид збор: Именка, машки род 	 Слично со: слезина (ж.) Вид: орган (м.) NEXT_MEANING Вид: болест (ж.) 	 Англиски: spleen Турски: dalak Албански: shpënetkë, shpretkë NEXT_MEANING Англиски: spleen Албански: shpretkë 	 Анатомија NEXT_MEANING Разговорно NEXT_MEANING Медицина NEXT_MEANING Разговорно 	 Зголемена, отечена слезина. 	 Слично со: слезина (ж.) Вид: орган (м.) 			далак, м
http://www.makedonski.info/show/далаклив/прид	 далакливиот 	 Вид збор: Придавка 	 	 	 Разговорно 					далаклив, прид
http://www.makedonski.info/show/далакосан/прид	 далакосаниот 	 Вид збор: Придавка 	 	 	 Медицина NEXT_MEANING Разговорно 		 			далакосан, прид
http://www.makedonski.info/show/далга/ж	 мн. далги 	 Вид збор: Именка, женски род 	 Слично со: талас (м.) , бран (м.) NEXT_MEANING Слично со: возбуда (ж.) , немир (м.) Спротивно од: мир (м.) 	 Англиски: wave Турски: dalga Албански: dallgë, valë NEXT_MEANING Англиски: unrest Албански: shqetsim 	 Дијалектен збор NEXT_MEANING Дијалектен збор NEXT_MEANING Преносно значење 	 Далги во градите. 	 Слично со: талас (м.) , бран (м.) 			далга, ж
http://www.makedonski.info/show/далгува/несв	 (се) далгуваат 	 Вид збор: Глагол, несвршен 	 Слично со: бранува (несв.) 	 Англиски: wave 	 Разговорно 		 Слично со: бранува (несв.) 		 далгување ср. глаг. им. 	далгува, несв
http://www.makedonski.info/show/далдиса/св	 (се) далдисаат 	 Вид збор: Глагол, свршен 	 	 Англиски: become absorbed Турски: dalmak 	 Разговорно 		 		 далдисува несв. далдисуваат	далдиса, св
http://www.makedonski.info/show/далек/прид	 далекиот 	 Вид збор: Придавка 	 	 Англиски: remote 						далек, прид
http://www.makedonski.info/show/далековид/прид	 далековидиот 	 Вид збор: Придавка 	 Спротивно од: кратковид (прид.) NEXT_MEANING Слично со: остроумен (прид.) , прониклив (прид.) 	 Англиски: farsighted NEXT_MEANING Англиски: clever 	 Медицина NEXT_MEANING Преносно значење 	 Далековида идеја. NEXT_MEANING Тој беше визионер, далековид во настаните што следуваа. 	 Спротивно од: кратковид (прид.) 		 1. далековидо прил. Пример: Постапи далековидо за оваа работа.NEXT_MEANING 2. далековидост ж.	далековид, прид
http://www.makedonski.info/show/далековиден/прид	 далековидниот 	 Вид збор: Придавка 	 	 Англиски: farsighted 					 далековидост ж. Пример: Тие во ниеден момент не покажаа зрелост и доблест, а ниту знаење и далековидост.	далековиден, прид
http://www.makedonski.info/show/далековидност/ж	 (едн.) далековидноста 	 Вид збор: Именка, женски род 	 Спротивно од: кратковидост (ж.) 	 Англиски: long-sightedness 		 Тој може да ги исправи сите проблеми со видот предизвикани од процесот на стареењето, далековидноста и астигматизам. NEXT_MEANING На манифестацијата „Година на есејот“ се чувствуваат ширината и далековидноста на европските народи - пишува таа. 				далековидност, ж
http://www.makedonski.info/show/далекоисточен/прид	 далекоисточни 	 Вид збор: Придавка 	 	 Англиски: Far Eastern Албански: i Lindjes së Largët 	 Географија 		 			далекоисточен, прид
http://www.makedonski.info/show/далекометен/прид	 далекометниот 	 Вид збор: Придавка 	 	 Англиски: long-range 	 Воен термин 		 			далекометен, прид
http://www.makedonski.info/show/далекосежен/прид	 далекосежниот 	 Вид збор: Придавка 	 Слично со: долгорочен (прид.) , важен (прид.) , значаен (прид.) 	 Англиски: far-reaching 			 Слично со: долгорочен (прид.) , важен (прид.) , значаен (прид.) 		 1. далекосежно прил. Пример: Постапи далекосежно.NEXT_MEANING 2. далекосежност ж.	далекосежен, прид
http://www.makedonski.info/show/далекост/ж	 мн. далекости 	 Вид збор: Именка, женски род 	 	 Англиски: distance 			 			далекост, ж
http://www.makedonski.info/show/далекострелен/прид	 далекострелниот 	 Вид збор: Придавка 	 	 Англиски: long-range 	 Воен термин 					далекострелен, прид
http://www.makedonski.info/show/далеку/прил	 	 Вид збор: Прилог 	 Спротивно од: недалеку (прил.) , блиску (прил.) NEXT_MEANING NEXT_MEANING 	 Англиски: far Албански: larg NEXT_MEANING Англиски: far ago Албански: më parë NEXT_MEANING Англиски: far away Албански: larg 	 Преносно значење NEXT_MEANING Преносно значење 	 Далеку е она време кога полковникот влегуваше во нејзината соба. 	 Спротивно од: недалеку (прил.) , блиску (прил.) 	 Отиде далеку - постигне големи резултати, големи успеси; претера. 	 1. далечко прил. дем.NEXT_MEANING 2. далечку прил. дем.	далеку, прил
http://www.makedonski.info/show/далекуглед/прид	 далекугледиот 	 Вид збор: Придавка 	 	 Англиски: farsighted 						далекуглед, прид
http://www.makedonski.info/show/далекугледен/прид	 далекугледниот 	 Вид збор: Придавка 	 Слично со: далекуглед (прид.) 	 Англиски: farsighted 					 далекугледност ж.	далекугледен, прид
http://www.makedonski.info/show/далекум/прил	 	 Вид збор: Прилог 	 	 	 Архаизам 					далекум, прил
http://www.makedonski.info/show/далекусежен/прид	 далекусежни 	 Вид збор: Придавка 	 	 Англиски: far-reaching 					 далекусежност ж.	далекусежен, прид
http://www.makedonski.info/show/дален/прид	 далниот 	 Вид збор: Придавка 	 	 						дален, прид
http://www.makedonski.info/show/далечен/прид	 далечни 	 Вид збор: Придавка 	 Спротивно од: близок (прид.) NEXT_MEANING Слично со: дамнешен (прид.) NEXT_MEANING NEXT_MEANING Слично со: туѓ (прид.) NEXT_MEANING 	 Англиски: remote Албански: i largët NEXT_MEANING Англиски: past Албански: i largët NEXT_MEANING Англиски: far Албански: larg NEXT_MEANING Англиски: strange Албански: i largët NEXT_MEANING Англиски: distant Албански: i largët 		 далечно минато NEXT_MEANING далечно детство 	 Спротивно од: близок (прид.) 	 2. далечност ж.	 1. далечно прил. Пример: Далечно гргори реката.NEXT_MEANING 2. далечност ж.	далечен, прид
http://www.makedonski.info/show/далечина/ж	 мн. далечини 	 Вид збор: Именка, женски род 	 	 Англиски: distance 			 		 далечински прид. далечинскиот Пример: далечински управувач	далечина, ж
http://www.makedonski.info/show/далечинско/ср	 мн. далечински 	 Вид збор: Именка, среден род 	 	 Англиски: remote control 	 Технологија 		 			далечинско, ср
http://www.makedonski.info/show/дали/чест	 	 Вид збор: Честичка 	 	 Англиски: whether 			 			дали, чест
http://www.makedonski.info/show/дали/сврз	 	 Вид збор: Сврзник 	 	 Англиски: whether 	 Разговорно 		 			дали, сврз
http://www.makedonski.info/show/далија/ж	 мн. далии 	 Вид збор: Именка, женски род 	 Вид: цвеќе (ср.) 	 Англиски: dahlia Албански: gjeogjinë 	 Ботаника 		 Вид: цвеќе (ср.) 			далија, ж
http://www.makedonski.info/show/далјан/м	 мн. далјани 	 Вид збор: Именка, машки род 	 Слично со: брана (ж.) NEXT_MEANING NEXT_MEANING 	 Англиски: fish trap Албански: kurth peshku NEXT_MEANING Англиски: rifle Албански: pushkë NEXT_MEANING Албански: i lartë 	 Архаизам 		 Слично со: брана (ж.) 			далјан, м
http://www.makedonski.info/show/далјанка/ж	 мн. далјанки 	 Вид збор: Именка, женски род 	 	 Англиски: rifle 						далјанка, ж
http://www.makedonski.info/show/далматинец/м	 мн. далматинци 	 Вид збор: Именка, машки род 	 Вид: куче (ср.) 	 Англиски: dalmatian 	 Зоологија 		 Вид: куче (ср.) 			далматинец, м
http://www.makedonski.info/show/Далмација/име	 	 Вид збор: Име 	 	 Англиски: Dalmatia 	 Географија 		 		 1. Далматинец м. мн. ДалматинциNEXT_MEANING 2. Далматинка ж. мн. ДалматинкиNEXT_MEANING 3. далматински прид. далматинскиот Пример: далматинска пршута	Далмација, име
http://www.makedonski.info/show/далнина/ж	 мн. далнини 	 Вид збор: Именка, женски род 	 	 Англиски: distance 	 Поетски збор 					далнина, ж
http://www.makedonski.info/show/далновод/м	 мн. далноводи 	 Вид збор: Именка, машки род 	 	 Англиски: transmission line 	 Технологија 		 			далновод, м
http://www.makedonski.info/show/далтонизам/м	 далтонизмот 	 Вид збор: Именка, машки род 	 	 Англиски: color-blindness 	 Медицина 		 		 далтонистички прид. далтонистичкиот Што се однесува на далтонизам.	далтонизам, м
http://www.makedonski.info/show/далтонист/м	 мн. далтонисти 	 Вид збор: Именка, машки род 	 	 Англиски: color-blind 	 Медицина 		 			далтонист, м
http://www.makedonski.info/show/дама/ж	 мн. дами 	 Вид збор: Именка, женски род 	 Слично со: госпоѓа (ж.) NEXT_MEANING NEXT_MEANING NEXT_MEANING Слично со: кралица (ж.) NEXT_MEANING Вид: игра (ж.) 	 Англиски: lady Албански: zonjë NEXT_MEANING Англиски: lady Албански: zonjë NEXT_MEANING Англиски: queen Албански: mbretëreshë, damë NEXT_MEANING Англиски: queen Албански: mbretëreshë NEXT_MEANING Англиски: checkers Албански: damë 		 Седна до една дама и до нејзиниот сопруг. NEXT_MEANING Како сте, дами? NEXT_MEANING Ја опиша својата дама. 	 Слично со: госпоѓа (ж.) 			дама, ж
http://www.makedonski.info/show/дамазлак/м	 мн. дамазлаци 	 Вид збор: Именка, машки род 	 	 Турски: damızlık 		 Одвај кај некого да останал по некој чифт кози дамазлак. NEXT_MEANING Се остава најубавата овца за дамазлак. 				дамазлак, м
http://www.makedonski.info/show/дамар/м	 мн. дамари 	 Вид збор: Именка, машки род 	 Слично со: жила (ж.) NEXT_MEANING Слично со: нерв (м.) NEXT_MEANING Слично со: пукнатина (ж.) 	 Англиски: blood vessel Турски: damar Албански: enë gjaku NEXT_MEANING Англиски: nerve Турски: damar Албански: nerv NEXT_MEANING Англиски: crack Турски: damar Албански: kris 	 Архаизам NEXT_MEANING Медицина 	 Му се стресоа дамарите. NEXT_MEANING Само еден дамар и заигра над десниот агол од устата. 	 Слично со: жила (ж.) 			дамар, м
http://www.makedonski.info/show/дамаск/м	 (едн.) 	 Вид збор: Именка, машки род 	 	 Англиски: damask 						дамаск, м
http://www.makedonski.info/show/дамаскин/м	 мн. дамаскини 	 Вид збор: Именка, машки род 	 	 	 Лингвистика NEXT_MEANING Црковен термин 		 			дамаскин, м
http://www.makedonski.info/show/дамаскина/ж	 мн. дамаскини 	 Вид збор: Именка, женски род 	 	 						дамаскина, ж
http://www.makedonski.info/show/дамаскинар/м	 мн. дамаскинари 	 Вид збор: Именка, машки род 	 	 			 			дамаскинар, м
http://www.makedonski.info/show/дамаскинарство/ср	 (едн.) дамаскинарството 	 Вид збор: Именка, среден род 	 	 			 		 дамаскинарски прид. дамаскинарскиот Што се однесува на дамаскинарство и на дамаскинар. Пример: дамаскинарска литература, дамаскинарска дејност	дамаскинарство, ср
